annual_income,debt_to_income_ratio,financial_knowledge_score,investment_horizon_years,savings_rate,net_worth,recommended_strategy,adjusted_income,long_term_risk,wealth_growth_potential,income_stability_score,family_responsibility_score
61244.14,0.49,5,9,0.09,150946.53,2,31234.5114,18,13585.187699999999,61244.14,9
111338.35,0.39,1,19,0.29,1072347.37,2,67916.3935,19,310980.73730000004,111338.35,57
27581.32,0.12,5,13,0.07,177370.9,2,24271.5616,26,12415.963000000002,27581.32,39
64813.5,0.44,4,3,0.22,523811.23,1,36295.560000000005,6,115238.4706,0.0,6
108668.65,0.35,2,19,0.21,938672.67,1,70634.6225,19,197121.2607,217337.3,0
85010.3,0.59,1,10,0.14,176190.58,0,34854.223000000005,20,24666.6812,0.0,20
79347.7,0.37,4,20,0.06,495872.04,1,49989.051,0,29752.322399999997,79347.7,20
67272.09,0.13,4,3,0.12,328361.21,0,58526.71829999999,6,39403.3452,67272.09,6
81125.46,0.43,9,12,0.23,562027.74,1,46241.51220000001,24,129266.3802,243376.38,0
83144.91,0.25,6,20,0.23,375382.71,2,62358.6825,40,86338.02330000002,0.0,20
108395.14,0.13,5,24,0.16,800360.77,0,94303.7718,48,128057.72320000001,0.0,48
30773.1,0.24,1,17,0.05,187378.42,2,23387.556,17,9368.921,92319.29999999999,0
131418.78,0.15,3,5,0.16,552534.95,1,111705.96299999999,5,88405.59199999999,394256.33999999997,0
111376.51,0.26,4,29,0.05,377861.9,2,82418.61739999999,0,18893.095,0.0,87
43642.53,0.13,4,29,0.23,316575.75,1,37969.0011,58,72812.4225,130927.59,87
101297.38,0.28,4,15,0.29,340452.73,1,72934.1136,30,98731.29169999999,303892.14,45
44774.14,0.16,5,8,0.06,167601.68,1,37610.2776,16,10056.100799999998,44774.14,0
51062.37,0.3,2,7,0.06,262219.8,0,35743.659,14,15733.187999999998,51062.37,7
29326.79,0.51,3,3,0.09,72989.61,0,14370.1271,6,6569.064899999999,0.0,9
49919.65,0.4,7,17,0.21,179237.13,1,29951.79,34,37639.7973,99839.3,0
80058.17,0.47,1,9,0.16,749787.29,2,42430.8301,0,119965.9664,80058.17,0
89285.21,0.13,10,24,0.15,595297.72,2,77678.1327,48,89294.658,89285.21,72
47534.49,0.57,4,23,0.1,333679.91,0,20439.830700000002,46,33367.991,95068.98,0
59939.96,0.48,7,20,0.16,396344.59,0,31168.7792,40,63415.1344,119879.92,20
75621.71,0.27,3,8,0.13,621243.69,1,55203.848300000005,8,80761.6797,75621.71,0
55083.54,0.42,6,21,0.16,176018.9,2,31948.453200000004,21,28163.024,110167.08,42
79671.49,0.5,8,4,0.24,234556.71,2,39835.745,8,56293.6104,0.0,8
109060.05,0.24,2,24,0.21,852647.59,2,82885.638,48,179055.99389999997,327180.15,24
60640.44,0.3,6,5,0.24,593155.07,1,42448.308,10,142357.2168,181921.32,5
45454.04,0.41,9,10,0.21,117055.69,2,26817.883600000005,20,24581.6949,45454.04,20
42882.66,0.58,5,16,0.3,151362.24,2,18010.717200000003,32,45408.672,128647.98000000001,48
61603.0,0.39,9,29,0.06,162981.06,0,37577.83,29,9778.863599999999,184809.0,0
38827.47,0.25,8,10,0.12,305386.76,0,29120.6025,20,36646.4112,77654.94,30
109840.72,0.46,2,14,0.06,415716.39,2,59313.98880000001,0,24942.9834,329522.16000000003,28
78475.72,0.59,10,20,0.23,440083.36,1,32175.045200000004,20,101219.1728,235427.16,20
67349.65,0.35,1,11,0.06,315496.58,1,43777.2725,11,18929.7948,67349.65,0
71868.15,0.53,7,7,0.11,693337.23,2,33778.03049999999,0,76267.0953,143736.3,21
163226.38,0.4,5,24,0.09,1577204.68,1,97935.828,24,141948.42119999998,326452.76,0
83573.16,0.23,3,6,0.21,231724.09,0,64351.3332,12,48662.058899999996,83573.16,12
67324.49,0.37,8,6,0.16,404726.51,1,42414.428700000004,6,64756.2416,0.0,6
